"Program Studi","Konsentrasi/Jalur","Semester","Nama Mata Kuliah","SKS"
"S2 Ilmu Komunikasi","Digital Media","Semester 2","Bisnis Media Digital",4
"S2 Ilmu Komunikasi","Digital Media","Semester 2","Analisis Media Digital",4
"S2 Ilmu Komunikasi","Digital Media","Semester 2","Sertifikasi",4
"S2 Ilmu Komunikasi","Digital Media","Semester 3","Kajian Literatur",4
"S2 Ilmu Komunikasi","Digital Media","Semester 3","Proposal Tugas Akhir",5
"S2 Ilmu Komunikasi","Digital Media","Semester 3","Tugas Akhir",7
"S2 Administrasi Bisnis","Business Governance","Semester 1","Corporate Governance Strategic",3
"S2 Administrasi Bisnis","Business Governance","Semester 1","Business Global and Corporate Strategic",3
"S2 Administrasi Bisnis","Business Governance","Semester 1","Human Capital Strategy",3
"S2 Administrasi Bisnis","Business Governance","Semester 1","Knowledge Management Strategic",3
"S2 Administrasi Bisnis","Business Governance","Semester 1","Enterprise Resource Planning",3
"S2 Administrasi Bisnis","Business Governance","Semester 2","Corporate Finance Strategic",3
"S2 Administrasi Bisnis","Business Governance","Semester 2","Supply Chain Management",3
"S2 Administrasi Bisnis","Business Governance","Semester 2","Strategic Global Entrepreneurship",3
"S2 Administrasi Bisnis","Business Governance","Semester 2","Research Method & Scientific Writing",3
"S2 Administrasi Bisnis","Business Governance","Semester 2","Entrepreuneurial Marketing",3
"S2 Administrasi Bisnis","Business Governance","Semester 3","Big Data Management & Analytics",3
"S2 Administrasi Bisnis","Business Governance","Semester 3","Specialization Course 1: Corporate Performance Management",3
"S2 Administrasi Bisnis","Business Governance","Semester 3","Specialization Course 2: Corporate Social Resposibility",3
"S2 Administrasi Bisnis","Business Governance","Semester 3","Governance Risk Compliance",3
"S2 Administrasi Bisnis","Business Governance","Semester 4","Proposal Thesis/Project",4
"S2 Administrasi Bisnis","Business Governance","Semester 4","Thesis/Project",8
"S2 Administrasi Bisnis","Strategic Leadership","Semester 1","Corporate Governance Strategic",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 1","Business Global and Corporate Strategic",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 1","Human Capital Strategy",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 1","Knowledge Management Strategic",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 1","Enterprise Resource Planning",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 2","Corporate Finance Strategic",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 2","Supply Chain Management",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 2","Strategic Global Entrepreneurship",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 2","Research Method & Scientific Writing",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 2","Entrepreuneurial Marketing",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 3","Big Data Management & Analytics",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 3","Specialization Course 1: Digital Leadership",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 3","Specialization Course 2: Strategic Business Patnership",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 3","Corporate Culture",3
"S2 Administrasi Bisnis","Strategic Leadership","Semester 4","Proposal Thesis/Project",4
"S2 Administrasi Bisnis","Strategic Leadership","Semester 4","Thesis/Project",8
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 1","Corporate Governance Strategic",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 1","Business Global and Corporate Strategic",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 1","Human Capital Strategy",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 1","Knowledge Management Strategic",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 1","Enterprise Resource Planning",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 2","Corporate Finance Strategic",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 2","Supply Chain Management",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 2","Strategic Global Entrepreneurship",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 2","Research Method & Scientific Writing",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 2","Entrepreuneurial Marketing",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 3","Big Data Management & Analytics",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 3","Specialization Course 1: Digital Innovation",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 3","Specialization Course 2: Business Idea and Opportunities",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 3","Investor Pitching Strategic",3
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 4","Proposal Thesis/Project",4
"S2 Administrasi Bisnis","Start-Up Business Strategy","Semester 4","Thesis/Project",8
"S2 Administrasi Bisnis","Global Business Strategy","Semester 1","Corporate Governance Strategic",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 1","Business Global and Corporate Strategic",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 1","Human Capital Strategy",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 1","Knowledge Management Strategic",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 1","Enterprise Resource Planning",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 2","Corporate Finance Strategic",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 2","Supply Chain Management",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 2","Strategic Global Entrepreneurship",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 2","Research Method & Scientific Writing",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 2","Entrepreuneurial Marketing",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 3","Big Data Management & Analytics",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 3","Specialization Course 1: Global Expansion Strategy",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 3","Specialization Course 2: Managing Diversity",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 3","Global Business Communication",3
"S2 Administrasi Bisnis","Global Business Strategy","Semester 4","Proposal Thesis/Project",4
"S2 Administrasi Bisnis","Global Business Strategy","Semester 4","Thesis/Project",8
"S2 Desain","Skema by Research","Semester 1","Design Thinking",6
"S2 Desain","Skema by Research","Semester 1","Design, Culture, and Humanity",6
"S2 Desain","Skema by Research","Semester 1","Design, Business, and Strategy",6
"S2 Desain","Skema by Research","Semester 2","MK Pilihan: Service Design / Sustainability Design",2
"S2 Desain","Skema by Research","Semester 2","Design Thinking & Research Methods",6
"S2 Desain","Skema by Research","Semester 2","Pra Thesis",6
"S2 Desain","Skema by Research","Semester 2","Academic Writing",4
"S2 Desain","Skema by Research","Semester 3","Final Exam (Thesis)",8
"S2 Desain","Skema by Research","Semester 3","Publication Ethics",4
"S2 Desain","Skema by Research","Semester 3","Academic Publication",6
"S2 Desain","Skema by Project","Semester 1","Design Thinking",6
"S2 Desain","Skema by Project","Semester 1","Design, Culture, and Humanity",6
"S2 Desain","Skema by Project","Semester 1","Design, Business, and Strategy",6
"S2 Desain","Skema by Project","Semester 2","MK Pilihan: Service Design / Sustainability Design",2
"S2 Desain","Skema by Project","Semester 2","Design & Innovation for Project",6
"S2 Desain","Skema by Project","Semester 2","Pra Project",6
"S2 Desain","Skema by Project","Semester 2","Portofolio",4
"S2 Desain","Skema by Project","Semester 3","Final Exam (Thesis)",8
"S2 Desain","Skema by Project","Semester 3","Intelectual Property Management",4
"S2 Desain","Skema by Project","Semester 3","Design Expo",6
